filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
544217e2-7536-49f2-8cbe-5dfea5556e2e.fast5	544217e2-7536-49f2-8cbe-5dfea5556e2e	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	153	4	21384.666000	12.307000	12307	TRUE	21384.861000	12112	12.112000	4462	10.340983	0.000000	73.563179	10.336746	74.551353	9.461970
fd1773b0-218c-4439-847c-2e758c4622a9.fast5	fd1773b0-218c-4439-847c-2e758c4622a9	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	140	3	84365.914000	16.795250	16795	TRUE	84365.999000	16710	16.710250	4566	10.465960	0.000000	81.315735	9.303072	80.177887	9.827915
068876f5-d8a9-47b0-a5bc-c29c5e13e789.fast5	068876f5-d8a9-47b0-a5bc-c29c5e13e789	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	366	4	20979.333750	11.897250	11897	TRUE	20979.519750	11711	11.711250	4473	11.905940	0.000000	71.668106	8.613955	71.118874	9.701016
3d902c46-c1d7-4b28-bbc3-aa92a98b6b5e.fast5	3d902c46-c1d7-4b28-bbc3-aa92a98b6b5e	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	150	3	122909.679750	28.415750	28415	TRUE	122909.799750	28295	28.295750	8765	9.223165	0.000000	58.058060	9.475350	60.002808	8.670682
6bfd9602-b481-49f1-9abf-2b2cd942897a.fast5	6bfd9602-b481-49f1-9abf-2b2cd942897a	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	206	3	50578.750750	11.792250	11792	TRUE	50578.966750	11576	11.576250	4595	9.085839	0.000000	69.083923	9.992188	69.075287	9.204173
932e017e-871a-4f38-9875-28313e3a8fa9.fast5	932e017e-871a-4f38-9875-28313e3a8fa9	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	71	1	51794.476500	23.877750	23877	TRUE	51794.699500	23654	23.654750	8829	8.893186	0.000000	73.046341	8.269397	72.143860	9.200583
1fb5cc88-6ec0-4a3d-a94d-bc345b94a03f.fast5	1fb5cc88-6ec0-4a3d-a94d-bc345b94a03f	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	52	2	70902.611500	16.535000	16535	TRUE	70902.746500	16400	16.400000	4647	9.606679	0.000000	64.087830	10.336746	66.202332	9.646438
e28cbdac-8afe-4bcf-be1d-f951d6d0f59c.fast5	e28cbdac-8afe-4bcf-be1d-f951d6d0f59c	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	315	2	34340.351000	23.958500	23958	TRUE	34340.423000	23886	23.886500	8609	9.118353	0.000000	78.386993	8.786234	75.987854	10.002676
d8f29360-7ab7-48c8-9fc3-45094e7f73bd.fast5	d8f29360-7ab7-48c8-9fc3-45094e7f73bd	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	115	2	16201.391000	15.096250	15096	TRUE	16201.460000	15027	15.027250	4507	10.663226	0.000000	65.466057	10.164467	68.141647	9.255964
6abd667e-dbae-4c9a-939c-b7bde0914eb1.fast5	6abd667e-dbae-4c9a-939c-b7bde0914eb1	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	510	4	71827.576000	15.280250	15280	TRUE	71827.630000	15226	15.226250	4525	10.796413	0.000000	79.248390	8.958513	79.018295	9.447435
c55492fb-779e-4ec1-bc3e-a90131431e56.fast5	c55492fb-779e-4ec1-bc3e-a90131431e56	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	480	4	248.840250	32.831000	32831	TRUE	248.867250	32804	32.804000	14422	10.683799	0.000000	80.454338	9.130793	76.681290	10.105953
053ec0c4-dde1-43af-a763-c6c5b25ff591.fast5	053ec0c4-dde1-43af-a763-c6c5b25ff591	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	230	2	37147.632750	12.037000	12037	TRUE	37147.837750	11832	11.832000	4370	10.506724	0.000000	69.945320	10.681305	71.769524	9.449268
133d83fb-589f-42f6-aa48-3cbef4d8194d.fast5	133d83fb-589f-42f6-aa48-3cbef4d8194d	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	125	4	35228.629000	10.635000	10635	TRUE	35228.818000	10446	10.446000	4240	9.305096	0.000000	72.874062	8.269397	71.101990	9.549432
fe1296e5-2c19-4120-b363-685b0a61501b.fast5	fe1296e5-2c19-4120-b363-685b0a61501b	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	512	3	39370.365000	23.576500	23576	TRUE	39370.400000	23541	23.541500	8602	10.656777	0.000000	76.491920	8.786234	75.815903	9.756887
39b6f022-743c-489c-9c4f-8746d314b573.fast5	39b6f022-743c-489c-9c4f-8746d314b573	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	249	3	27202.541750	15.064750	15064	FALSE	27202.595750	15010	15.010750	7352	6.650067	0.000000	73.046341	8.958513	71.840294	9.900458
2aa86614-3a71-446e-9243-75c79ab52fd2.fast5	2aa86614-3a71-446e-9243-75c79ab52fd2	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	264	2	32830.527000	11.942750	11942	TRUE	32830.662000	11807	11.807750	4289	10.525912	0.000000	72.874062	8.097118	70.398529	9.305079
a38bb2be-a7af-47bb-b230-609775901c9e.fast5	a38bb2be-a7af-47bb-b230-609775901c9e	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	125	3	23288.142250	22.600000	22600	TRUE	23288.274250	22468	22.468000	8742	10.001792	0.000000	71.323547	9.475350	71.530090	9.328221
d2575956-3739-4731-943a-aa12da11e030.fast5	d2575956-3739-4731-943a-aa12da11e030	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	48	1	3843.561750	20.903500	20903	TRUE	3843.619750	20845	20.845500	8610	11.009096	0.000000	72.184944	8.269397	70.580299	9.617798
5de32519-f151-4a0a-a504-e0f5b125bf84.fast5	5de32519-f151-4a0a-a504-e0f5b125bf84	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	83	2	29996.545250	60.004500	60004	TRUE	29996.629250	59920	59.920500	26080	9.879807	0.000000	73.390900	9.475350	73.493423	9.469499
b81b4e75-5418-459b-bd4e-4140a2bc2a22.fast5	b81b4e75-5418-459b-bd4e-4140a2bc2a22	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	356	1	7621.509750	23.868750	23868	TRUE	7621.575750	23802	23.802750	8564	9.935641	0.000000	69.945320	9.475350	70.516380	9.428264
f41b5bb3-7556-4d12-bc22-ec8eace19556.fast5	f41b5bb3-7556-4d12-bc22-ec8eace19556	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	289	4	4918.821250	10.227750	10227	TRUE	4918.853250	10195	10.195750	4222	8.840759	0.000000	73.907738	8.613955	72.555573	9.798695
9ea1d9ce-cff3-4ad9-8a2a-37693ec5cd71.fast5	9ea1d9ce-cff3-4ad9-8a2a-37693ec5cd71	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	440	1	55047.632750	14.568500	14568	TRUE	55047.661750	14539	14.539500	4542	11.949181	0.000000	78.214714	9.130793	75.457336	9.468597
87b95021-4282-46fa-ad3a-237d7172acaf.fast5	87b95021-4282-46fa-ad3a-237d7172acaf	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	57	2	58294.978500	13.372750	13372	TRUE	58295.010500	13340	13.340750	4534	9.511992	0.000000	75.630524	8.786234	74.229935	9.884138
1be0cadb-190f-4f9b-9939-7784b8d1a8cc.fast5	1be0cadb-190f-4f9b-9939-7784b8d1a8cc	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	125	3	61998.365250	25.055000	25055	TRUE	61998.619250	24801	24.801000	8562	8.218706	0.000000	76.836479	9.992188	75.977753	9.842215
81e369c0-4b9e-4c87-851f-9ad180c23563.fast5	81e369c0-4b9e-4c87-851f-9ad180c23563	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	375	2	34665.990500	12.483750	12483	TRUE	34666.002500	12471	12.471750	4336	11.087902	0.000000	64.604668	9.992188	66.592896	9.211284
e07fd4ba-5bee-4a4f-ab17-3bf78e739c6c.fast5	e07fd4ba-5bee-4a4f-ab17-3bf78e739c6c	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	205	4	25531.893750	11.078250	11078	TRUE	25532.089750	10882	10.882250	4548	10.365101	0.000000	70.462151	10.336746	73.321175	9.937497
6a3b9d52-fa1c-4d8f-9381-2aca47291dc0.fast5	6a3b9d52-fa1c-4d8f-9381-2aca47291dc0	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	206	1	69095.631750	40.920500	40920	TRUE	69095.655750	40896	40.896500	13401	10.259252	0.000000	64.260109	7.924839	64.626213	8.555264
41b6ebde-f02c-4988-b672-11a25b7d2b6c.fast5	41b6ebde-f02c-4988-b672-11a25b7d2b6c	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	86	3	4695.999250	10.264250	10264	TRUE	4696.125250	10138	10.138250	4391	10.329435	0.000000	71.151268	8.269397	68.423843	8.991310
652a3ee3-0f80-4a5a-9ba7-9f063b19dc43.fast5	652a3ee3-0f80-4a5a-9ba7-9f063b19dc43	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	410	4	24358.612000	11.491750	11491	TRUE	24358.648000	11455	11.455750	4393	10.428885	0.000000	71.495827	10.509026	73.682869	9.754466
cd9d3998-175c-4ab0-8960-84a9789fa88c.fast5	cd9d3998-175c-4ab0-8960-84a9789fa88c	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	500	1	56366.782500	14.158750	14158	TRUE	56366.812500	14128	14.128750	4534	12.177754	0.000000	72.874062	10.853583	74.357010	9.701854
4f8ab5a2-314e-477d-b7c6-a283517656ca.fast5	4f8ab5a2-314e-477d-b7c6-a283517656ca	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	183	3	49553.078250	13.147750	13147	TRUE	49553.167250	13058	13.058750	4613	11.504822	0.000000	71.151268	8.613955	69.990242	9.008429
c83e7181-1d63-4116-af21-fafed51db9a9.fast5	c83e7181-1d63-4116-af21-fafed51db9a9	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	314	4	67281.966750	13.665000	13665	TRUE	67282.046750	13585	13.585000	4397	10.934092	0.000000	65.638336	7.924839	64.688087	8.862361
74eabe65-58c1-4c2c-af19-9d4a426aac4d.fast5	74eabe65-58c1-4c2c-af19-9d4a426aac4d	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	465	3	63974.843500	16.556500	16556	FALSE	63974.891500	16508	16.508500	5124	5.076035	0.000000	68.911644	8.958513	72.565712	9.812217
df043aaa-0f25-4347-a813-7b7929f69c34.fast5	df043aaa-0f25-4347-a813-7b7929f69c34	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	441	3	103731.354500	26.045250	26045	TRUE	103731.521500	25878	25.878250	8693	10.181250	0.000000	73.563179	11.025863	74.943703	9.697517
451042f6-c501-4a41-920e-2a1dadf7b3eb.fast5	451042f6-c501-4a41-920e-2a1dadf7b3eb	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	152	1	102521.182500	48.554000	48554	TRUE	102521.231500	48505	48.505000	16883	9.445580	0.000000	84.761322	9.647630	81.840508	10.749542
a82b2b37-a85f-487b-9b42-59fab9243c30.fast5	a82b2b37-a85f-487b-9b42-59fab9243c30	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	88	3	49937.106000	26.055250	26055	TRUE	49937.381000	25780	25.780250	8780	9.044142	0.000000	64.260109	8.613955	65.222092	8.709617
39dda7de-ad97-4fd8-834e-a80cd0d7837a.fast5	39dda7de-ad97-4fd8-834e-a80cd0d7837a	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	142	4	59562.721250	28.189250	28189	TRUE	59562.751250	28159	28.159250	9002	11.921389	0.000000	67.361130	10.164467	70.257011	9.587241
dd5bd284-34f5-4998-abc0-f2724ee2cb37.fast5	dd5bd284-34f5-4998-abc0-f2724ee2cb37	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	168	2	40163.179250	33.986000	33986	TRUE	40163.195250	33970	33.970000	13260	10.334422	0.000000	70.289871	8.958513	69.126297	8.984134
8f1f8da4-39a3-4bdc-b090-889d70459889.fast5	8f1f8da4-39a3-4bdc-b090-889d70459889	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	246	2	30776.314000	34.521000	34521	TRUE	30776.456000	34379	34.379000	13219	9.643197	0.000000	72.012665	9.303072	71.005768	9.538616
9ddf4d95-593e-4805-85f3-09113e73c2d0.fast5	9ddf4d95-593e-4805-85f3-09113e73c2d0	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	175	4	72720.749750	14.369750	14369	TRUE	72720.836750	14282	14.282750	4576	11.031493	0.000000	78.559273	8.786234	77.917786	9.482910
17b14d0a-6221-4600-95d3-44fce956e150.fast5	17b14d0a-6221-4600-95d3-44fce956e150	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	185	4	34559.707250	12.756500	12756	TRUE	34560.184250	12279	12.279500	4251	9.454996	0.000000	58.574894	9.475350	59.625439	8.325962
12022872-0b83-43ed-aad9-7d4c991492f1.fast5	12022872-0b83-43ed-aad9-7d4c991492f1	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	16	2	84680.013000	16.595500	16595	TRUE	84680.071000	16537	16.537500	4622	10.266352	0.000000	67.533409	9.992188	69.525230	9.347118
28c45cbc-f8c5-46cf-a95a-bfb6f62aee1f.fast5	28c45cbc-f8c5-46cf-a95a-bfb6f62aee1f	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	493	4	85866.978250	16.431250	16431	TRUE	85867.052250	16357	16.357250	4495	9.353393	0.000000	70.462151	10.336746	73.749306	9.485315
74b3665e-5301-4e90-a91c-ad1964ee23e2.fast5	74b3665e-5301-4e90-a91c-ad1964ee23e2	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	446	2	85970.187000	14.804000	14804	TRUE	85970.518000	14473	14.473000	4328	11.231498	0.000000	81.143456	9.303072	79.284760	9.991511
f181d15e-682e-4fa2-8695-1556394c6ff9.fast5	f181d15e-682e-4fa2-8695-1556394c6ff9	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	381	2	23389.338250	12.067250	12067	TRUE	23389.801250	11604	11.604250	4483	9.961386	0.000000	66.672012	8.097118	65.491386	8.785437
2bd86cb3-344a-4aa9-98d9-4b37ccc2d2d3.fast5	2bd86cb3-344a-4aa9-98d9-4b37ccc2d2d3	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	55	3	3487.042000	13.013750	13013	TRUE	3487.072000	12983	12.983750	4435	10.215789	0.000000	69.256203	8.097118	70.142494	9.731131
80c4303e-602d-4a5f-9b85-3bf4c29b9eee.fast5	80c4303e-602d-4a5f-9b85-3bf4c29b9eee	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	364	1	71466.589750	66.682250	66682	TRUE	71466.665750	66606	66.606250	20457	8.857191	0.000000	76.664200	9.992188	76.011452	9.520622
cd60c94d-ef61-48f2-81e9-a3d3b38667f0.fast5	cd60c94d-ef61-48f2-81e9-a3d3b38667f0	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	391	2	57867.588500	25.286500	25286	TRUE	57867.802500	25072	25.072500	8991	9.104369	0.000000	72.184944	9.475350	71.428520	9.307297
73d65204-b11b-413f-ae63-de40cafc7300.fast5	73d65204-b11b-413f-ae63-de40cafc7300	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	480	3	31966.065250	12.021750	12021	TRUE	31966.420250	11666	11.666750	4531	10.503687	0.000000	69.428482	8.269397	68.939026	9.266161
b7d0f77d-fd10-4ab9-b6f8-a8198558bf88.fast5	b7d0f77d-fd10-4ab9-b6f8-a8198558bf88	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	173	3	18272.668750	15.006250	15006	TRUE	18273.201750	14473	14.473250	4615	11.733240	0.000000	70.289871	8.441676	69.250839	9.072098
1dafc082-c4be-4043-882a-c337bb314fd4.fast5	1dafc082-c4be-4043-882a-c337bb314fd4	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	20	1	27714.323250	21.861250	21861	TRUE	27714.432250	21752	21.752250	8734	9.677624	0.000000	72.012665	9.475350	71.464943	9.606821
acc35ab1-f51a-4b89-b1ad-2e2473495e96.fast5	acc35ab1-f51a-4b89-b1ad-2e2473495e96	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	108	2	22466.122000	15.011750	15011	TRUE	22466.127000	15006	15.006750	4475	9.929152	0.000000	66.844292	7.235723	72.991035	10.219756
